time,seconds_elapsed,z,y,x
1770950126779473200,0.20247314453125,-14.137500762939453,-11.58750057220459,-15.000000953674316
1770950126789473300,0.212473388671875,-13.800000190734863,-12.468750953674316,-14.625000953674316
1770950126799473200,0.22247314453125,-14.137500762939453,-12.825000762939453,-14.68125057220459
1770950126819473200,0.24247314453125,-14.662500381469727,-12.093750953674316,-13.08750057220459
1770950126829473300,0.252473388671875,-14.850000381469727,-11.981250762939453,-12.731250762939453
1770950126839473200,0.26247314453125,-14.96250057220459,-11.831250190734863,-12.05625057220459
1770950126849473300,0.272473388671875,-15.093750953674316,-11.756250381469727,-11.77500057220459
1770950126859473200,0.28247314453125,-15.112500190734863,-11.568750381469727,-11.21250057220459
1770950126869473300,0.292473388671875,-15.468750953674316,-11.043750762939453,-10.83750057220459
1770950126879473200,0.30247314453125,-15.768750190734863,-10.36875057220459,-10.668750762939453
1770950126889473300,0.312473388671875,-15.581250190734863,-10.350000381469727,-11.49375057220459
1770950126899473200,0.32247314453125,-15.281250953674316,-9.825000762939453,-12.843750953674316
1770950126909473300,0.332473388671875,-15.24375057220459,-9.487500190734863,-13.55625057220459
1770950126919473200,0.34247314453125,-15.24375057220459,-9,-14.193750381469727
1770950126929473300,0.352473388671875,-14.96250057220459,-8.34375,-15.000000953674316
1770950126939473200,0.36247314453125,-15.131250381469727,-8.268750190734863,-15.487500190734863
1770950126949473300,0.372473388671875,-15.018750190734863,-7.668750286102295,-15.112500190734863
1770950126959473200,0.38247314453125,-15.000000953674316,-7.312500476837158,-14.662500381469727
1770950126969473300,0.392473388671875,-15.300000190734863,-6.731250286102295,-13.875000953674316
1770950126979473200,0.40247314453125,-15.693750381469727,-6.375000476837158,-12.600000381469727
1770950126989473300,0.412473388671875,-15.90000057220459,-5.887500286102295,-11.77500057220459
1770950126999473200,0.42247314453125,-16.23750114440918,-5.831250190734863,-11.512500762939453
1770950127009473300,0.432473388671875,-16.59375,-5.71875,-10.762500762939453
1770950127019473200,0.44247314453125,-16.80000114440918,-5.212500095367432,-10.481250762939453
1770950127029473300,0.452473388671875,-16.856250762939453,-5.381250381469727,-11.043750762939453
1770950127039473200,0.46247314453125,-17.025001525878906,-5.418750286102295,-11.475000381469727
1770950127049473300,0.472473388671875,-16.650001525878906,-5.568750381469727,-12.131250381469727
1770950127059473200,0.48247314453125,-16.537500381469727,-5.962500095367432,-12.468750953674316
1770950127069473300,0.492473388671875,-16.42500114440918,-6.375000476837158,-13.106250762939453
1770950127079473200,0.50247314453125,-15.975000381469727,-6.318750381469727,-13.612500190734863
1770950127089473300,0.512473388671875,-15.731250762939453,-6.562500476837158,-14.02500057220459
1770950127099473200,0.52247314453125,-15.61875057220459,-6.768750190734863,-13.893750190734863
