time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1770950126782396700,0.205396728515625,-0.7802802324295044,-0.026001717895269394,0.27955877780914307,0.5588681101799011,0.4502963721752167,-0.36082929372787476,1.982008695602417
1770950126810851000,0.23385107421875,-0.7891789674758911,-0.008164633065462112,0.2651023864746094,0.553941011428833,0.4445962607860565,-0.3116072416305542,1.9885444641113281
1770950126829820400,0.2528203125,-0.7862216234207153,-0.004831091035157442,0.2635035812854767,0.5589258670806885,0.4433806538581848,-0.30695202946662903,1.97528874874115
1770950126848790000,0.2717900390625,-0.7756881713867188,-0.012813674286007881,0.26434215903282166,0.5729458332061768,0.43099358677864075,-0.3286719024181366,1.941792607307434
1770950126867759400,0.29075927734375,-0.7642223238945007,-0.022548485547304153,0.25921571254730225,0.5901381373405457,0.40395495295524597,-0.3473531901836395,1.898287057876587
1770950126886729000,0.30972900390625,-0.7568805813789368,-0.02661926858127117,0.24541260302066803,0.6051411628723145,0.3686983287334442,-0.344061940908432,1.8574700355529785
1770950126905697500,0.328697509765625,-0.7523016929626465,-0.02710563689470291,0.22812806069850922,0.6174666285514832,0.333396852016449,-0.3283759355545044,1.8227769136428833
1770950126924668000,0.34766796875,-0.7489067912101746,-0.029101481661200523,0.21224570274353027,0.6270912885665894,0.3004659414291382,-0.31496527791023254,1.7954598665237427
1770950126943637500,0.366637451171875,-0.7463177442550659,-0.034321993589401245,0.20127347111701965,0.6334989070892334,0.273299902677536,-0.3112441897392273,1.7771010398864746
1770950126962607000,0.385607177734375,-0.7440086603164673,-0.04329514130949974,0.1950524002313614,0.6375979781150818,0.25007763504981995,-0.3185122013092041,1.7649035453796387
1770950126981576400,0.404576416015625,-0.7413879036903381,-0.055782806128263474,0.1920502632856369,0.6405848860740662,0.2278205156326294,-0.33499282598495483,1.7551039457321167
1770950127000546000,0.423546142578125,-0.7375749349594116,-0.07085185497999191,0.19153736531734467,0.6436432600021362,0.2057969570159912,-0.3587248921394348,1.744041085243225
1770950127019515600,0.442515625,-0.7320652604103088,-0.08736252039670944,0.19235555827617645,0.6476477384567261,0.182918518781662,-0.3866279423236847,1.7289178371429443
1770950127038485000,0.461485107421875,-0.7259122133255005,-0.10344944149255753,0.19282615184783936,0.6520488858222961,0.15904808044433594,-0.4133228659629822,1.7113131284713745
1770950127057454600,0.48045458984375,-0.7205886244773865,-0.11788174510002136,0.19248537719249725,0.6555954217910767,0.13593325018882751,-0.43595200777053833,1.6953331232070923
1770950127076424200,0.499424072265625,-0.7170525789260864,-0.13076798617839813,0.19109942018985748,0.6574316024780273,0.11388574540615082,-0.4542679786682129,1.6838443279266357
1770950127095393800,0.518393798828125,-0.7156994938850403,-0.14227072894573212,0.1886589676141739,0.6572222709655762,0.0932067260146141,-0.4685891270637512,1.6781929731369019
1770950127114363100,0.537363037109375,-0.7168479561805725,-0.15129341185092926,0.18597979843616486,0.6547142863273621,0.07727766036987305,-0.4784863293170929,1.6801952123641968
1770950127133332700,0.556332763671875,-0.719478189945221,-0.15754929184913635,0.1838172823190689,0.6509535312652588,0.06717556715011597,-0.48478659987449646,1.6873328685760498
1770950127152302300,0.57530224609375,-0.7251766324043274,-0.16040921211242676,0.17913852632045746,0.6452109217643738,0.059654589742422104,-0.4822957515716553,1.7020446062088013
1770950127171271700,0.594271728515625,-0.7368836402893066,-0.15752996504306793,0.17056655883789062,0.6348967552185059,0.05748633295297623,-0.4653625190258026,1.732842206954956
1770950127190241300,0.6132412109375,-0.7541333436965942,-0.14920954406261444,0.15836910903453827,0.6196277737617493,0.05952686443924904,-0.4348866045475006,1.779150366783142
1770950127218695700,0.64169580078125,-0.7779948711395264,-0.13530975580215454,0.1402329057455063,0.5972855091094971,0.06113656237721443,-0.38769853115081787,1.8441014289855957
1770950127237665000,0.6606650390625,-0.7859359383583069,-0.13043680787086487,0.1319018006324768,0.5898244380950928,0.057351622730493546,-0.3689408600330353,1.8646880388259888
1770950127256634600,0.679634521484375,-0.7860925793647766,-0.1307142823934555,0.12876519560813904,0.5902472138404846,0.051564596593379974,-0.3656042516231537,1.8630218505859375
1770950127275604200,0.698604248046875,-0.7820254564285278,-0.13519951701164246,0.12784141302108765,0.5948225259780884,0.04199603572487831,-0.3720702528953552,1.8489738702774048
1770950127294573600,0.717573486328125,-0.7775960564613342,-0.14027845859527588,0.12702803313732147,0.5996083617210388,0.03158106654882431,-0.37954092025756836,1.833914875984192
1770950127313543200,0.736543212890625,-0.7755107879638672,-0.14324820041656494,0.12575975060462952,0.6018700003623962,0.02439049631357193,-0.38284724950790405,1.8263322114944458
1770950127332512800,0.7555126953125,-0.7766204476356506,-0.14369523525238037,0.12465288490056992,0.6005614399909973,0.022656448185443878,-0.3821505606174469,1.8294798135757446
1770950127351482000,0.774482177734375,-0.7804917097091675,-0.14312221109867096,0.12404154241085052,0.5957871675491333,0.02486512064933777,-0.38031837344169617,1.8423999547958374
1770950127370451700,0.79345166015625,-0.7849826216697693,-0.14317941665649414,0.12542606890201569,0.5895509123802185,0.030276859179139137,-0.38189196586608887,1.8591169118881226
1770950127398906000,0.821906005859375,-0.7902922034263611,-0.146969273686409,0.13169531524181366,0.580081582069397,0.04080446809530258,-0.39530035853385925,1.8833893537521362
1770950127417875500,0.84087548828125,-0.7921987771987915,-0.15206092596054077,0.13798785209655762,0.5746806859970093,0.04785677045583725,-0.41099628806114197,1.896396517753601
