time,seconds_elapsed,relativeAltitude,pressure
1771038049596980000,0.34997998046875,0,983.465087890625
1771038049636980000,0.38997998046875,-0.0158538818359375,983.467041015625
1771038049676984000,0.429984130859375,-0.105682373046875,983.4775390625
1771038049716978700,0.469978759765625,-0.124176025390625,983.479736328125
1771038049756979000,0.50997900390625,-0.19287109375,983.48779296875
1771038049796980000,0.54997998046875,-0.1479644775390625,983.482666015625
1771038049836980700,0.589980712890625,-0.04754638671875,983.470947265625
1771038049876980700,0.629980712890625,0.0502166748046875,983.45947265625
1771038049916977700,0.669977783203125,0.0924835205078125,983.454345703125
1771038049956981000,0.70998095703125,0.121551513671875,983.450927734375
1771038049996981200,0.749981201171875,0.229888916015625,983.438232421875
1771038050036981000,0.78998095703125,0.253662109375,983.435546875
1771038050076980000,0.82997998046875,0.211395263671875,983.4404296875
1771038050116978400,0.869978515625,0.1241912841796875,983.45068359375
1771038050156980700,0.909980712890625,-0.0819091796875,983.474853515625
1771038050196980700,0.949980712890625,-0.2721405029296875,983.4970703125
1771038050236980700,0.989980712890625,-0.369903564453125,983.508544921875
1771038050276979200,1.029979248046875,-0.359344482421875,983.50732421875
1771038050316979200,1.069979248046875,-0.3646240234375,983.508056640625
1771038050356982000,1.10998193359375,-0.5390167236328125,983.528564453125
1771038050396970200,1.14997021484375,-0.795318603515625,983.558349609375
1771038050436971300,1.18997119140625,-0.9908447265625,983.581298828125
1771038050476979000,1.22997900390625,-1.104461669921875,983.5947265625
1771038050516980200,1.269980224609375,-1.3634033203125,983.625244140625
1771038050556982300,1.309982177734375,-1.466461181640625,983.63720703125
1771038050596980700,1.349980712890625,-1.730682373046875,983.668212890625
1771038050636979500,1.3899794921875,-1.902435302734375,983.688232421875
1771038050676979000,1.42997900390625,-2.1058807373046875,983.712158203125
1771038050716982000,1.46998193359375,-2.4044647216796875,983.7470703125
1771038050756984000,1.509984130859375,-2.43353271484375,983.750732421875
1771038050796981500,1.5499814453125,-2.338409423828125,983.739501953125
1771038050836982800,1.589982666015625,-3.493072509765625,983.874755859375
1771038050876981200,1.629981201171875,-5.199981689453125,984.074951171875
1771038050916978700,1.669978759765625,-6.7483673095703125,984.2568359375
1771038050956979000,1.70997900390625,-7.5701141357421875,984.353271484375
1771038050996981800,1.749981689453125,-7.6995849609375,984.3681640625
1771038051036981000,1.78998095703125,-6.6003875732421875,984.239501953125
1771038051076981000,1.82998095703125,-6.80120849609375,984.262939453125
1771038051116980500,1.86998046875,-5.643890380859375,984.127197265625
1771038051156979200,1.909979248046875,-3.57763671875,983.884765625
1771038051196980200,1.949980224609375,-0.631500244140625,983.539306640625
1771038051236981500,1.9899814453125,1.329071044921875,983.309326171875
1771038051276979000,2.02997900390625,2.7347564697265625,983.14453125
1771038051316978400,2.069978515625,3.781097412109375,983.02197265625
1771038051356980700,2.109980712890625,4.2117919921875,982.971435546875
1771038051396981800,2.149981689453125,4.269927978515625,982.96484375
1771038051436983000,2.189983154296875,4.0770416259765625,982.9873046875
1771038051476980500,2.22998046875,3.8233795166015625,983.01708984375
1771038051516982800,2.269982666015625,3.294921875,983.078857421875
1771038051556981500,2.3099814453125,2.0451202392578125,983.2255859375
1771038051596982800,2.349982666015625,1.720123291015625,983.263671875
1771038051636983300,2.3899833984375,1.302642822265625,983.3125
1771038051676980200,2.429980224609375,1.120330810546875,983.333984375
1771038051716980700,2.469980712890625,1.178466796875,983.326904296875
1771038051756982300,2.509982177734375,0.5548858642578125,983.400146484375
1771038051796982000,2.54998193359375,-0.5390167236328125,983.5283203125
1771038051836978200,2.589978271484375,0.031707763671875,983.461669921875
1771038051876979700,2.629979736328125,0.3831329345703125,983.42041015625
1771038051916983000,2.669983154296875,0.53375244140625,983.402587890625
1771038051956981800,2.709981689453125,0.438629150390625,983.413818359375
1771038051996981800,2.749981689453125,-3.7071075439453125,983.89990234375
1771038052036979200,2.789979248046875,-2.584136962890625,983.768310546875
1771038052076983000,2.829983154296875,-2.0609588623046875,983.70703125
1771038052116980700,2.869980712890625,-1.7069091796875,983.665283203125
1771038052156980500,2.90998046875,-0.977630615234375,983.579833984375
1771038052196979000,2.94997900390625,-0.5654449462890625,983.531494140625
1771038052236983000,2.989983154296875,-0.3804779052734375,983.509765625
1771038052276981200,3.029981201171875,-2.4150238037109375,983.748291015625
1771038052316981800,3.069981689453125,-2.7136077880859375,983.783447265625
1771038052356981500,3.1099814453125,-2.267059326171875,983.731201171875
1771038052396979000,3.14997900390625,-1.630279541015625,983.656494140625
1771038052436980500,3.18998046875,-1.004058837890625,983.5830078125
1771038052476984300,3.229984375,-0.359344482421875,983.50732421875
1771038052516983000,3.269983154296875,-1.6910552978515625,983.66357421875
1771038052556979000,3.30997900390625,-1.149383544921875,983.60009765625
1771038052596979200,3.349979248046875,-0.6103515625,983.536865234375
1771038052636972800,3.389972900390625,-0.3487701416015625,983.506103515625
1771038052676970500,3.429970458984375,-0.214019775390625,983.490234375
1771038052716981200,3.469981201171875,-0.22723388671875,983.491943359375
1771038052756978200,3.509978271484375,-2.3727569580078125,983.743408203125
1771038052796982000,3.54998193359375,-1.81787109375,983.678466796875
1771038052836981500,3.5899814453125,-1.326416015625,983.62060546875
1771038052876980700,3.629980712890625,-0.922149658203125,983.5732421875
1771038052916980700,3.669980712890625,-0.7926788330078125,983.55810546875
1771038052956978400,3.709978515625,-0.504669189453125,983.5244140625
1771038052996980700,3.749980712890625,-0.5205230712890625,983.5263671875
1771038053036981800,3.789981689453125,-2.8985595703125,983.80517578125
