time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771038049701000000,0.454,45,1.5,0.6575440764427185,19.174999237060547,0,0,256.1000061035156,-97.7961922,30.5221419
1771038055889009400,6.642009521484375,180,0.3651723265647888,0.6874469518661499,33.31800079345703,2.642643690109253,89.93357849121094,256.1000061035156,-97.7961547,30.5221423
1771038056315407400,7.068407470703125,180,0.39676737785339355,0.6874469518661499,33.34700012207031,2.6581761837005615,89.86386108398438,256.1000061035156,-97.7961601,30.5221427
1771038056629042700,7.382042724609375,180,0.39676737785339355,0.6874469518661499,33.39500045776367,2.6596720218658447,89.81670379638672,256.1000061035156,-97.7961615,30.5221432
1771038057035719000,7.788718994140625,103.10326385498047,0.30613699555397034,0.694729208946228,33.6619987487793,3.567795515060425,44.02049255371094,256.1000061035156,-97.7961577,30.5221627
1771038057298402300,8.05140234375,103.63516235351562,0.30613699555397034,0.6817452311515808,33.797000885009766,2.643519878387451,356.80352783203125,255.40000915527344,-97.796184,30.5221419
1771038057349411800,8.102411865234375,104.31875610351562,0.33007851243019104,0.6817452311515808,33.81100082397461,2.649822235107422,356.87506103515625,255.40000915527344,-97.7961861,30.5221816
1771038057759101700,8.512101806640626,103.7247543334961,0.33007851243019104,0.6817452311515808,34.1609992980957,2.651355266571045,356.97723388671875,255.40000915527344,-97.7961856,30.5221718
1771038058069842200,8.82284228515625,95.5236587524414,0.28510335087776184,0.6817452311515808,34.768001556396484,2.585649013519287,359.628173828125,255.40000915527344,-97.7961848,30.5221687
1771038058498452700,9.25145263671875,96.75796508789062,0.31809890270233154,0.6893043518066406,35.268001556396484,2.58026385307312,0.5814701914787292,255.40000915527344,-97.7961845,30.5221711
1771038058791051800,9.5440517578125,96.46365356445312,0.31809890270233154,0.6893043518066406,35.68600082397461,2.577389717102051,1.5180399417877197,255.40000915527344,-97.7961841,30.5221721
1771038059219849700,9.972849609375,86.7847671508789,0.32323986291885376,0.6893043518066406,36.025001525878906,2.610426902770996,3.1226439476013184,255.40000915527344,-97.7961827,30.522178
1771038059513317400,10.2663173828125,84.41950225830078,0.3518460690975189,0.6893043518066406,36.35300064086914,2.616698741912842,4.444631099700928,255.40000915527344,-97.7961814,30.5221812
1771038059928314600,10.681314697265625,86.32650756835938,0.3402038812637329,0.6986367106437683,36.573001861572266,2.6520352363586426,6.627315521240234,255.40000915527344,-97.7961787,30.5221877
1771038060251912400,11.004912353515625,87.61647033691406,0.36475273966789246,0.6986367106437683,36.82500076293945,2.668936014175415,8.304691314697266,255.40000915527344,-97.7961764,30.5221922
1771038060650311400,11.4033115234375,88.46260070800781,0.39341482520103455,0.6986367106437683,37.12300109863281,2.681537628173828,9.596094131469727,255.40000915527344,-97.796174,30.5221984
1771038060973945000,11.726945068359376,93.2481460571289,0.3631907105445862,0.705402672290802,37.74700164794922,2.738065481185913,10.651674270629883,255.40000915527344,-97.7961711,30.5222031
1771038061370099000,12.123098876953126,90.88965606689453,0.38472867012023926,0.705402672290802,38.472999572753906,2.7820699214935303,11.20697021484375,255.40000915527344,-97.7961682,30.5222096
1771038061674305000,12.427304931640625,92.20562744140625,0.4157252311706543,0.705402672290802,38.82899856567383,2.7966866493225098,11.742599487304688,255.40000915527344,-97.7961659,30.5222139
1771038062090947000,12.843947021484375,91.60994720458984,0.3775538504123688,0.7126753926277161,39.409000396728516,2.7881314754486084,15.250932693481445,255.40000915527344,-97.7961611,30.5222208
1771038062394603500,13.147603515625,94.70287322998047,0.38619425892829895,0.7126753926277161,40.36199951171875,2.787508010864258,17.965484619140625,255.40000915527344,-97.7961571,30.5222248
1771038062793220600,13.546220703125,91.95044708251953,0.40010562539100647,0.7126753926277161,41.39500045776367,2.7913970947265625,20.4448299407959,255.40000915527344,-97.7961522,30.5222309
1771038063095682800,13.848682861328125,92.44155883789062,0.343459814786911,0.7191786170005798,42.422000885009766,2.9759268760681152,17.798555374145508,255.40000915527344,-97.7961506,30.5222355
1771038063513176300,14.26617626953125,92.75753784179688,0.3882996439933777,0.7191786170005798,43.540000915527344,2.9997074604034424,16.931455612182617,255.40000915527344,-97.7961479,30.5222429
1771038063562000000,14.314999755859375,45,1.5,0.6613786220550537,41.763999938964844,2.844331741333008,355.9593811035156,256.20001220703125,-97.7963798,30.5221726
1771038072351178000,23.104177978515626,180,1.5,0.6987904906272888,29.29800033569336,2.7522692680358887,325.4136047363281,256.20001220703125,-97.7965969,30.5222513
1771038072749574000,23.502573974609376,180,1.5,0.6987904906272888,29.381999969482422,2.608750820159912,306.3288269042969,256.20001220703125,-97.7966529,30.5221941
1771038073071673600,23.824673583984374,180,0.3758755028247833,0.6987904906272888,29.4689998626709,3.0338757038116455,77.75284576416016,256.20001220703125,-97.7966466,30.5221591
1771038073451514000,24.20451416015625,180,0.4031637907028198,0.7060729265213013,29.594999313354492,2.9787352085113525,87.69337463378906,256.20001220703125,-97.7966559,30.5221359
1771038073774126600,24.527126708984376,180,0.4031637907028198,0.7060729265213013,29.756000518798828,2.9834001064300537,93.55261993408203,256.20001220703125,-97.7966616,30.5221192
1771038074153023700,24.906023681640626,109.15148162841797,0.3375391960144043,0.7060729265213013,29.878000259399414,3.141047716140747,121.00304412841797,256.20001220703125,-97.7966633,30.5220949
1771038074475154400,25.228154541015623,111.17830657958984,0.3617396056652069,0.7060729265213013,30.054000854492188,3.0179429054260254,131.28993225097656,256.20001220703125,-97.7966663,30.5220804
