time,seconds_elapsed,relativeAltitude,pressure
1770950686332263400,0.263263427734375,0,998.07666015625
1770950686372259000,0.303259033203125,-0.02906036376953125,998.080078125
1770950686412264000,0.343263916015625,-0.0343475341796875,998.080810546875
1770950686452263400,0.383263427734375,-0.09511566162109375,998.087890625
1770950686492264000,0.423263916015625,-0.1347503662109375,998.092529296875
1770950686532256000,0.463256103515625,-0.17438507080078125,998.097412109375
1770950686572263200,0.50326318359375,-0.277435302734375,998.109619140625
1770950686612263700,0.543263671875,-0.24044036865234375,998.10498046875
1770950686652263700,0.583263671875,-0.26422119140625,998.10791015625
1770950686692263400,0.623263427734375,-0.22194671630859375,998.102783203125
1770950686732244000,0.663243896484375,-0.18231201171875,998.09814453125
1770950686772264000,0.703263916015625,-0.20345306396484375,998.100830078125
1770950686812263000,0.743262939453125,-0.17438507080078125,998.09716796875
1770950686852264700,0.7832646484375,-0.18231201171875,998.09814453125
1770950686892255200,0.823255126953125,-0.1796722412109375,998.097900390625
1770950686932259000,0.863259033203125,-0.18759918212890625,998.098876953125
1770950686972256800,0.9032568359375,-0.30914306640625,998.11328125
1770950687012263200,0.94326318359375,-0.3619842529296875,998.119384765625
1770950687052262700,0.9832626953125,-0.3567047119140625,998.118896484375
1770950687092256000,1.023256103515625,-0.4069061279296875,998.124755859375
1770950687132264000,1.063263916015625,-0.5390167236328125,998.140380859375
1770950687172263400,1.103263427734375,-0.5522308349609375,998.14208984375
1770950687212263200,1.14326318359375,-0.5575180053710938,998.142822265625
1770950687252265000,1.183264892578125,-0.5310897827148438,998.1396484375
1770950687292310300,1.223310302734375,-0.39897918701171875,998.123779296875
1770950687332263400,1.263263427734375,-0.195526123046875,998.099853515625
1770950687372262700,1.3032626953125,-0.06340789794921875,998.083984375
1770950687412265500,1.343265380859375,0.0739898681640625,998.06787109375
1770950687452254500,1.38325439453125,0.21402740478515625,998.05126953125
1770950687492362000,1.423362060546875,0.2563018798828125,998.046142578125
1770950687532262400,1.463262451171875,0.253662109375,998.046630859375
1770950687572263200,1.50326318359375,0.2563018798828125,998.046142578125
1770950687612263200,1.54326318359375,0.266876220703125,998.044921875
1770950687652244000,1.583243896484375,0.2245941162109375,998.050048828125
1770950687692264000,1.623263916015625,0.16910552978515625,998.056396484375
1770950687732264200,1.66326416015625,0.17967987060546875,998.05517578125
1770950687772263700,1.703263671875,0.095123291015625,998.065185546875
1770950687812255200,1.743255126953125,0.08455657958984375,998.066650390625
1770950687852365300,1.783365234375,0.11626434326171875,998.062744140625
1770950687892263200,1.82326318359375,0.14533233642578125,998.059326171875
1770950687932263200,1.86326318359375,0.1928863525390625,998.0537109375
1770950687972264000,1.903263916015625,0.1876068115234375,998.054443359375
1770950688012258000,1.943258056640625,0.208740234375,998.0517578125
1770950688052263000,1.983262939453125,0.2193145751953125,998.050537109375
1770950688092263400,2.023263427734375,0.1611785888671875,998.057373046875
1770950688132264000,2.063263916015625,0.08191680908203125,998.06689453125
1770950688172263200,2.10326318359375,-0.0026397705078125,998.076904296875
1770950688212263000,2.143262939453125,0,998.07666015625
1770950688252264200,2.18326416015625,-0.05812835693359375,998.08349609375
1770950688292263400,2.223263427734375,-0.11096954345703125,998.089599609375
1770950688332264000,2.263263916015625,-0.214019775390625,998.10205078125
1770950688372254700,2.303254638671875,-0.20609283447265625,998.10107421875
1770950688412260900,2.3432607421875,-0.1294708251953125,998.092041015625
1770950688452264000,2.383263916015625,-0.068695068359375,998.084716796875
1770950688492263400,2.423263427734375,-0.08983612060546875,998.087158203125
1770950688532265000,2.463264892578125,-0.0528411865234375,998.082763671875
1770950688572286200,2.5032861328125,-0.04227447509765625,998.08154296875
1770950688612263700,2.543263671875,-0.087188720703125,998.0869140625
1770950688652263000,2.583262939453125,-0.12154388427734375,998.091064453125
1770950688692263000,2.623262939453125,-0.19023895263671875,998.09912109375
1770950688732254000,2.66325390625,-0.17438507080078125,998.097412109375
1770950688772260900,2.7032607421875,-0.22458648681640625,998.103271484375
1770950688812241700,2.74324169921875,-0.3434906005859375,998.1171875
1770950688852263700,2.783263671875,-0.2483673095703125,998.10595703125
1770950688892263700,2.823263671875,-0.163818359375,998.095947265625
1770950688932242700,2.86324267578125,-0.10569000244140625,998.089111328125
1770950688972262400,2.903262451171875,-0.03170013427734375,998.080322265625
1770950689012263400,2.943263427734375,0.08719635009765625,998.066162109375
1770950689052263000,2.983262939453125,0.0105743408203125,998.0751953125
1770950689092256000,3.023256103515625,-0.05548095703125,998.083251953125
1770950689132259800,3.063259765625,-0.10832977294921875,998.08935546875
1770950689172264000,3.103263916015625,-0.12154388427734375,998.091064453125
1770950689212263000,3.143262939453125,-0.1030426025390625,998.0888671875
1770950689252263700,3.183263671875,-0.08983612060546875,998.08740234375
1770950689292254500,3.22325439453125,-0.20345306396484375,998.1005859375
1770950689332259000,3.263259033203125,-0.2906494140625,998.111083984375
1770950689372257000,3.303257080078125,-0.33292388916015625,998.115966796875
1770950689412263000,3.343262939453125,-0.340850830078125,998.116943359375
1770950689452263200,3.38326318359375,-0.30914306640625,998.11328125
1770950689492342800,3.4233427734375,-0.1664581298828125,998.09619140625
1770950689532262700,3.4632626953125,-0.10040283203125,998.08837890625
1770950689572263400,3.503263427734375,-0.07398223876953125,998.085205078125
1770950689612264000,3.543263916015625,-0.0396270751953125,998.081298828125
1770950689652256000,3.583256103515625,0.076629638671875,998.067626953125
1770950689692258000,3.623258056640625,0.03699493408203125,998.072021484375
1770950689732263700,3.663263671875,-0.05548095703125,998.083251953125
