time,seconds_elapsed,z,y,x
1770950686249341200,0.180341064453125,-0.36651885509490967,0.2516762912273407,-0.15210533142089844
1770950686268308200,0.19930810546875,-0.40317076444625854,0.20158538222312927,-0.15027274191379547
1770950686287275300,0.218275146484375,-0.536339282989502,0.08429934084415436,-0.1496618688106537
1770950686306242300,0.2372421875,-0.6365211009979248,0.03481929376721382,-0.0513126403093338
1770950686325209300,0.256209228515625,-0.6707295179367065,-0.006108647678047419,0.1282816082239151
1770950686344176400,0.27517626953125,-0.6640099883079529,0.001832594396546483,0.25350889563560486
1770950686363143400,0.294143310546875,-0.6322450637817383,0.05925388261675835,0.21807873249053955
1770950686382110500,0.3131103515625,-0.6139190793037415,0.04764745384454727,0.04459312930703163
1770950686401077500,0.332077392578125,-0.5876519083976746,0.1178968995809555,-0.029932374134659767
1770950686420044500,0.35104443359375,-0.5607738494873047,0.37140578031539917,-0.08857539296150208
1770950686439011600,0.370011474609375,-0.5430588126182556,0.6114756464958191,-0.27977606654167175
1770950686457978600,0.388978515625,-0.48563748598098755,0.6835576891899109,-0.48075059056282043
1770950686476945700,0.407945556640625,-0.337808221578598,0.573602020740509,-0.5418370366096497
1770950686495912700,0.42691259765625,-0.1802051067352295,0.268169641494751,-0.4263836145401001
1770950686514880000,0.4458798828125,-0.13439024984836578,-0.040317077189683914,-0.1594357043504715
1770950686533847000,0.464846923828125,-0.16310089826583862,-0.14294235408306122,0.2254091054201126
1770950686552814000,0.48381396484375,-0.22235478460788727,-0.17592905461788177,0.411722868680954
1770950686571781000,0.502781005859375,-0.2522871494293213,-0.2467893660068512,0.13927717506885529
1770950686590748200,0.521748046875,-0.19792018830776215,-0.20708316564559937,-0.4105011224746704
1770950686609715200,0.540715087890625,0.04886918142437935,-0.10629047453403473,-0.7953459620475769
1770950686628682200,0.55968212890625,0.4667007029056549,-0.07086031138896942,-0.637742817401886
1770950686647649300,0.578649169921875,0.8283326625823975,0.13439024984836578,-0.12950333952903748
1770950686666616300,0.5976162109375,0.8875865340232849,0.006108647678047419,0.24434591829776764
1770950686685583400,0.616583251953125,0.6847794055938721,-0.48075059056282043,0.24862197041511536
1770950686704550400,0.63555029296875,0.389120876789093,-0.9138537049293518,0.0054977829568088055
1770950686723517400,0.654517333984375,0.3182605504989624,-0.9474512934684753,-0.21319180727005005
1770950686742484500,0.673484375,0.42943793535232544,-0.7971785664558411,-0.23884813487529755
1770950686761451500,0.692451416015625,0.5528326034545898,-0.5216785073280334,-0.001832594396546483
1770950686780418600,0.71141845703125,0.5974257588386536,-0.20830489695072174,0.2522871494293213
1770950686799385600,0.730385498046875,0.5681042671203613,-0.18570289015769958,0.2993237376213074
1770950686818352600,0.7493525390625,0.4508182108402252,-0.7757982611656189,0.2926042377948761
1770950686837319700,0.768319580078125,0.3811796307563782,-1.3921607732772827,0.40866854786872864
1770950686856287000,0.787286865234375,0.32192572951316833,-1.0586286783218384,0.44837474822998047
1770950686875254000,0.80625390625,0.15271618962287903,-0.3500255048274994,0.17531819641590118
1770950686894221000,0.825220947265625,-0.14110976457595825,-0.4416552484035492,-0.3231474757194519
1770950686913188000,0.84418798828125,-0.2834412455558777,-0.9755510687828064,-0.5998691916465759
1770950686932155100,0.863155029296875,-0.01954767294228077,-1.1997383832931519,-0.4001164436340332
1770950686951122200,0.8821220703125,0.3500255048274994,-1.4080432653427124,-0.020158538594841957
1770950686970089200,0.901089111328125,0.5662716627120972,-1.4923427104949951,0.2919933497905731
1770950686989056300,0.92005615234375,0.5601630210876465,-1.2907572984695435,0.48502662777900696
1770950687008023300,0.939023193359375,0.40255987644195557,-1.2486076354980469,0.5137372612953186
1770950687026990300,0.957990234375,0.05742128938436508,-1.0690133571624756,0.34697118401527405
1770950687045957400,0.976957275390625,-0.13927717506885529,-0.6695078015327454,0.13072505593299866
1770950687064924400,0.99592431640625,-0.12278381735086441,-0.4508182108402252,-0.16859868168830872
1770950687083891500,1.014891357421875,-0.11423171311616898,-0.4050033390522003,-0.24373504519462585
1770950687102858500,1.0338583984375,-0.05925388261675835,-0.42882707715034485,-0.05192350596189499
1770950687121825500,1.052825439453125,-0.05742128938436508,-0.45509424805641174,0.05497783049941063
1770950687140792800,1.071792724609375,-0.12034036219120026,-0.5100721120834351,0.07513637095689774
1770950687159760000,1.090759765625,-0.21380266547203064,-0.5180133581161499,0.029932374134659767
1770950687178726700,1.1097265625,-0.15638138353824615,-0.4214966893196106,-0.18631376326084137
1770950687197694000,1.12869384765625,0.011606430634856224,-0.1740964651107788,-0.5161807537078857
1770950687216661000,1.147660888671875,-0.009162971749901772,0.20769402384757996,-0.6401863098144531
1770950687235628000,1.1666279296875,-0.09712749719619751,0.4043924808502197,-0.38301220536231995
1770950687254595000,1.185594970703125,-0.13194678723812103,0.3390299379825592,-0.06719512492418289
1770950687273562000,1.20456201171875,-0.12400554865598679,0.10140355676412582,0.06475166976451874
1770950687292529200,1.223529052734375,-0.20219624042510986,-0.04886918142437935,0.01282816007733345
1770950687311496200,1.24249609375,-0.22907429933547974,0.010384701192378998,-0.05925388261675835
1770950687330463200,1.261463134765625,-0.20830489695072174,0.18753549456596375,-0.0054977829568088055
1770950687349430300,1.28043017578125,-0.24923282861709595,0.40805765986442566,0.18814635276794434
1770950687368397300,1.299397216796875,-0.32681265473365784,0.5815432667732239,0.3298669755458832
1770950687387364400,1.3183642578125,-0.3909534513950348,0.5112938284873962,0.32192572951316833
1770950687406331600,1.33733154296875,-0.4263836145401001,0.4276053309440613,0.22724169492721558
1770950687425298400,1.35629833984375,-0.4221075773239136,0.3634645342826843,0.164322629570961
1770950687444265700,1.375265625,-0.3915643095970154,0.3646862804889679,0.2315177470445633
1770950687463232800,1.394232666015625,-0.39400777220726013,0.3897317349910736,0.33536475896835327
1770950687482199800,1.41319970703125,-0.4111120104789734,0.47586366534233093,0.4269944727420807
1770950687501166800,1.432166748046875,-0.4355465769767761,0.46914416551589966,0.46914416551589966
1770950687520134000,1.4511337890625,-0.4257727563381195,0.411722868680954,0.4007273018360138
1770950687539101000,1.470100830078125,-0.3249800503253937,0.4202749729156494,0.2987128794193268
1770950687558068000,1.48906787109375,-0.22296564280986786,0.4618137776851654,0.22846342623233795
1770950687577035000,1.508034912109375,-0.08918625861406326,0.4819723069667816,0.11178825795650482
1770950687596002300,1.527002197265625,0.06230820715427399,0.5705476999282837,0.04825831577181816
1770950687614969300,1.54596923828125,0.10140355676412582,0.5430588126182556,0.08552107214927673
1770950687633936100,1.56493603515625,0.14599667489528656,0.3811796307563782,0.1533270627260208
1770950687652903400,1.5839033203125,0.258395791053772,0.31459537148475647,0.17898337543010712
1770950687671870500,1.602870361328125,0.3017672002315521,0.07452550530433655,0.0030543238390237093
1770950687690837500,1.62183740234375,0.2364046722650528,-0.16126830875873566,-0.33231043815612793
1770950687709804500,1.640804443359375,0.27550002932548523,-0.14660754799842834,-0.5760455131530762
1770950687728771600,1.659771484375,0.46975502371788025,0.3023780584335327,-0.41355544328689575
