loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2023-02-01T16:59:52.987-06:00,1,199589.363892,0.1201324462890625,-0.22918701171875,-0.9622955322265625,199589.34016,0.090361587703228,0.1558860093355179,-0.1720950603485107
2023-02-01T16:59:53.006-06:00,2,199589.397615,0.1358489990234375,-0.228759765625,-0.8787841796875,199589.373884,-0.104808434844017,0.2335467040538788,-0.1048108339309692
2023-02-01T16:59:53.041-06:00,3,199589.431339,0.1019744873046875,-0.243438720703125,-0.893890380859375,199589.407608,-0.2821004092693329,-0.0357915535569191,-0.01174667105078697
2023-02-01T16:59:53.076-06:00,4,199589.465063,0.0951080322265625,-0.2219085693359375,-0.8890228271484375,199589.441332,-0.2942116558551788,-0.2742730975151062,-0.09661761671304703
2023-02-01T16:59:53.114-06:00,5,199589.498787,0.09967041015625,-0.1905059814453125,-0.98663330078125,199589.475055,-0.4615156948566437,-0.3133144974708557,-0.1628672182559967
2023-02-01T16:59:53.142-06:00,6,199589.532511,0.08648681640625,-0.180389404296875,-1.04119873046875,199589.508779,-0.3269831836223602,-0.2920305132865906,-0.1539272516965866
2023-02-01T16:59:53.176-06:00,7,199589.5662349167,0.094451904296875,-0.1717681884765625,-1.0396728515625,199589.5425029167,-0.1005953177809715,-0.2622915506362915,-0.1869800090789795
2023-02-01T16:59:53.211-06:00,8,199589.5999579167,0.1291046142578125,-0.1620941162109375,-0.9788665771484375,199589.5762269167,0.04184092208743095,-0.1397533714771271,-0.1847474724054337
2023-02-01T16:59:53.246-06:00,9,199589.6336819167,0.1112213134765625,-0.164581298828125,-0.9718475341796875,199589.6099509167,-0.0403950922191143,-0.06845548748970032,-0.1032014861702919
2023-02-01T16:59:53.276-06:00,10,199589.6674059167,0.11004638671875,-0.1538543701171875,-0.968353271484375,199589.6436749167,-0.03350096940994263,-0.1125012412667274,-0.0905781015753746
2023-02-01T16:59:53.314-06:00,11,199589.7011299167,0.103607177734375,-0.156585693359375,-0.9846343994140625,199589.6773979167,0.00149376702029258,-0.1950051784515381,-0.05400997027754784
2023-02-01T16:59:53.348-06:00,12,199589.7348539167,0.0795440673828125,-0.1602325439453125,-0.973236083984375,199589.7111219167,0.03420057892799377,-0.2009605318307877,0.01595339924097061
2023-02-01T16:59:53.387-06:00,13,199589.7685779167,0.0523223876953125,-0.185546875,-0.983917236328125,199589.7448459167,0.04032957926392555,-0.2382147014141083,0.03265248611569405
2023-02-01T16:59:53.411-06:00,14,199589.8023009167,0.0587158203125,-0.18475341796875,-0.9710540771484375,199589.7785699167,0.1107137277722359,-0.2314705103635788,-0.04028483852744102
2023-02-01T16:59:53.446-06:00,15,199589.8360249167,0.0524139404296875,-0.1772918701171875,-0.9671478271484375,199589.8122939167,0.03143355622887611,-0.2378876656293869,-0.03880518674850464
2023-02-01T16:59:53.481-06:00,16,199589.8697489167,0.04412841796875,-0.1790771484375,-1.001052856445312,199589.8460179167,-0.05417056009173393,-0.1432088166475296,-0.02510402165353298
2023-02-01T16:59:53.516-06:00,17,199589.9034729167,0.039794921875,-0.170318603515625,-0.9970855712890625,199589.8797409167,-0.05468162149190903,-0.08878020197153091,-0.04372644051909447
2023-02-01T16:59:53.548-06:00,18,199589.9371969167,0.0614776611328125,-0.1638031005859375,-0.994110107421875,199589.9134649167,-0.01581970974802971,-0.05450185760855675,-0.06740780174732208
2023-02-01T16:59:53.588-06:00,19,199589.9709209167,0.057037353515625,-0.1621551513671875,-0.96771240234375,199589.9471889167,0.00845713447779417,-0.03320162743330002,-0.05305363237857819
2023-02-01T16:59:53.616-06:00,20,199590.0046439167,0.0475006103515625,-0.1608428955078125,-0.9739837646484375,199589.9809129167,-0.07224810123443604,0.03149081394076347,-0.03146364912390709
2023-02-01T16:59:53.651-06:00,21,199590.0383679167,0.0534515380859375,-0.1597900390625,-0.9772796630859375,199590.0146369167,-0.0586920753121376,0.001776062068529427,-0.05707766860723495
2023-02-01T16:59:53.681-06:00,22,199590.0720919167,0.0618438720703125,-0.155181884765625,-0.971099853515625,199590.0483609167,-0.03726827725768089,-0.04586522653698921,-0.0712512731552124
2023-02-01T16:59:53.716-06:00,23,199590.1058159167,0.0483856201171875,-0.1559906005859375,-0.9925994873046875,199590.0820839167,-0.0838666707277298,-0.02801485732197762,-0.01844798214733601
2023-02-01T16:59:53.751-06:00,24,199590.1395399167,0.0497894287109375,-0.15350341796875,-0.9660491943359375,199590.1158079167,-0.07154129445552826,0.01292618457227945,-0.02698021940886974
2023-02-01T16:59:53.788-06:00,25,199590.1732639167,0.044830322265625,-0.1558837890625,-0.9710845947265625,199590.1495319167,-0.1854084730148315,0.0690818652510643,0.01965013332664967
2023-02-01T16:59:53.816-06:00,26,199590.2069869167,0.034912109375,-0.14776611328125,-0.9816741943359375,199590.1832559167,-0.1489284932613373,-0.08867341279983521,-0.01454352214932442
2023-02-01T16:59:53.851-06:00,27,199590.2407109167,0.0432891845703125,-0.1342620849609375,-0.9934844970703125,199590.2169799167,-0.1688159108161926,-0.08198461681604385,-0.03653990104794502
2023-02-01T16:59:53.886-06:00,28,199590.2744349167,0.0390472412109375,-0.136505126953125,-1.005844116210938,199590.2507029167,-0.1416964083909988,-0.06522747129201889,-0.01444072462618351
