time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1770952036949209300,0.161209228515625,0.8109766244888306,0.3888375163078308,0.11684238910675049,0.42127203941345215,0.20318202674388885,-0.8170369267463684,-2.0952019691467285
1770952036968180000,0.180179931640625,0.8105351328849792,0.382226824760437,0.11260870844125748,0.42924898862838745,0.21019139885902405,-0.7984722852706909,-2.0785727500915527
1770952036987150800,0.19915087890625,0.8190268278121948,0.352212518453598,0.11659997701644897,0.43765953183174133,0.16046978533267975,-0.746406614780426,-2.0971248149871826
1770952037006121500,0.21812158203125,0.825027346611023,0.3289274573326111,0.11856622993946075,0.443935364484787,0.12691783905029297,-0.7049815654754639,-2.107551336288452
1770952037025092000,0.237092041015625,0.82594233751297,0.31804680824279785,0.1141279935836792,0.4512651860713959,0.12698951363563538,-0.6794697642326355,-2.096561908721924
1770952037044062700,0.256062744140625,0.8263320922851562,0.3111150860786438,0.11443037539720535,0.455289363861084,0.1201271116733551,-0.6666625738143921,-2.0927696228027344
1770952037063033600,0.27503369140625,0.827957034111023,0.3073105216026306,0.12357853353023529,0.45252153277397156,0.0938764363527298,-0.6696654558181763,-2.1085245609283447
1770952037082004200,0.294004150390625,0.8288092017173767,0.3065239191055298,0.13390988111495972,0.448538213968277,0.06817859411239624,-0.6792723536491394,-2.125396251678467
1770952037100974800,0.312974853515625,0.8294562101364136,0.3025342524051666,0.13932770490646362,0.44840067625045776,0.051592208445072174,-0.677474319934845,-2.132223129272461
1770952037119945700,0.33194580078125,0.8311628103256226,0.2953251600265503,0.14083413779735565,0.44957438111305237,0.039969999343156815,-0.6656333804130554,-2.136117696762085
1770952037138916400,0.350916259765625,0.8320754170417786,0.29264214634895325,0.14296120405197144,0.4489689767360687,0.03155091404914856,-0.6628565192222595,-2.141122579574585
1770952037157887000,0.369886962890625,0.8308791518211365,0.29230669140815735,0.14884193241596222,0.44949162006378174,0.019670477136969566,-0.6681686639785767,-2.142976760864258
1770952037176857900,0.38885791015625,0.8290454745292664,0.28892964124679565,0.15965361893177032,0.45134687423706055,-0.004993479233235121,-0.6728149056434631,-2.146244764328003
1770952037195828500,0.407828369140625,0.8273391723632812,0.28335055708885193,0.17042146623134613,0.45406925678253174,-0.03156501427292824,-0.6733654141426086,-2.1487512588500977
1770952037214799400,0.42679931640625,0.8259901404380798,0.278560996055603,0.17734308540821075,0.45682981610298157,-0.049144499003887177,-0.6715606451034546,-2.1483535766601562
1770952037233770000,0.44577001953125,0.8248156309127808,0.2766566276550293,0.17857810854911804,0.45961955189704895,-0.05138148367404938,-0.6694278120994568,-2.142698287963867
1770952037252740600,0.46474072265625,0.7891418933868408,0.26798221468925476,0.1937796175479889,0.5175809860229492,-0.03637884929776192,-0.6732693910598755,-1.9933319091796875
1770952037271711500,0.48371142578125,0.7771052122116089,0.26619023084640503,0.20228223502635956,0.5332280397415161,-0.039272721856832504,-0.6808333396911621,-1.9527344703674316
1770952037290682000,0.50268212890625,0.775895893573761,0.2648168206214905,0.21087104082107544,0.5323448181152344,-0.05867617949843407,-0.6885947585105896,-1.959961175918579
1770952037309653000,0.521653076171875,0.7632165551185608,0.2529117465019226,0.23131898045539856,0.5477478504180908,-0.0990523099899292,-0.6937980651855469,-1.9324359893798828
1770952037328623600,0.54062353515625,0.7606023550033569,0.24458692967891693,0.2441113144159317,0.5496098399162292,-0.133840411901474,-0.6950173377990723,-1.9386696815490723
