time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1770952037534007000,0.746007080078125,0,0,0,5.670000076293945,0.12800000607967377,298,168.88999938964844,-97.7326691,30.2876963
1770952039555699000,2.767698974609375,0,0,0,5.670000076293945,2.1070001125335693,285,166.88999938964844,-97.7326914,30.2876986
1770952041551218200,4.76321826171875,0,0,0,5.670000076293945,5.8580002784729,276,162.3000030517578,-97.7327741,30.2877085
1770952043558252800,6.770252685546875,0,0,0,5.670000076293945,5.13700008392334,277,156.19000244140625,-97.732888,30.2877223
1770952045547122000,8.759121826171874,0,0,0,5.670000076293945,6.203000068664551,282,153.69000244140625,-97.733023,30.2877473
1770952046549760800,9.7617607421875,0,0,0,5.670000076293945,4.752000331878662,274,153.59999084472656,-97.7330778,30.2877481
1770952048564355300,11.776355224609375,0,0,0,5.670000076293945,4.029000282287598,247,153.09999084472656,-97.7331495,30.2877118
1770952050554146000,13.76614599609375,0,0,0,5.670000076293945,4.039000034332275,198,147.8000030517578,-97.7331563,30.2876235
1770952052543830300,15.755830322265625,0,0,0,5.670000076293945,4.144000053405762,124,147.8000030517578,-97.7330803,30.2876086
1770952053556472800,16.768472900390623,0,0,0,5.670000076293945,4.453000068664551,97,149.8000030517578,-97.7330421,30.2876248
1770952055547808800,18.759808837890624,0,0,0,5.670000076293945,7.832000255584717,103,147.8000030517578,-97.7328918,30.2875861
1770952057549215500,20.761215576171875,0,0,0,5.670000076293945,6.737000465393066,100,147.3000030517578,-97.7327473,30.2875758
1770952058553426400,21.765426513671876,0,0,0,5.670000076293945,5.4150004386901855,95,144.19000244140625,-97.7326871,30.2875745
1770952060534407000,23.746406982421874,0,0,0,5.670000076293945,4.2210001945495605,59,144.3000030517578,-97.7326118,30.2876276
1770952061540406300,24.75240625,0,0,0,5.670000076293945,4.384000301361084,20,144.8000030517578,-97.7326214,30.2876705
1770952062541249000,25.7532490234375,0,0,0,5.670000076293945,4.599000453948975,342,145.3000030517578,-97.7326668,30.287703
1770952063545446700,26.75744677734375,0,0,0,5.670000076293945,4.859000205993652,315,143.59999084472656,-97.7327248,30.2877113
1770952065542733600,28.754733642578124,0,0,0,5.670000076293945,5.2310004234313965,290,136.38999938964844,-97.7328281,30.2877151
1770952067543034000,30.7550341796875,0,0,0,5.670000076293945,5.324000358581543,280,135.3000030517578,-97.7329431,30.2877306
1770952068556878000,31.768878173828124,0,0,0,5.670000076293945,4.892000198364258,281,133.19000244140625,-97.7329868,30.2877435
1770952070544946000,33.75694580078125,0,0,0,5.670000076293945,4.2900004386901855,279,132.8000030517578,-97.7330696,30.2877511
1770952071545469000,34.75746899414062,0,0,0,5.670000076293945,3.6070001125335693,276,131.69000244140625,-97.7330968,30.287747
1770952073548295400,36.76029541015625,0,0,0,5.670000076293945,1.7890000343322754,266,131.09999084472656,-97.7331101,30.2877246
1770952075547739000,38.75973876953125,0,0,0,5.670000076293945,1.6600000858306885,199,130.69000244140625,-97.7330366,30.2876986
1770952077548681000,40.76068090820313,0,0,0,5.670000076293945,3.7790002822875977,113,133,-97.7329236,30.2876801
1770952079545466000,42.757466064453126,0,0,0,5.670000076293945,4.930000305175781,107,134.19000244140625,-97.7328063,30.287649
1770952080546206000,43.7582060546875,0,0,0,5.670000076293945,4.331000328063965,102,131.69000244140625,-97.7327705,30.2876498
1770952081546128100,44.758128173828126,0,0,0,5.670000076293945,4.2220001220703125,96,131.09999084472656,-97.7327273,30.2876585
1770952083535994400,46.747994384765626,0,0,0,5.670000076293945,2.7950000762939453,86,131.19000244140625,-97.7326946,30.2876805
1770952084543665400,47.75566552734375,0,0,0,5.670000076293945,2.057000160217285,75,129.09999084472656,-97.7326995,30.2876991
1770952086530386400,49.742386474609376,0,0,0,5.670000076293945,1.590000033378601,86,125.89999389648438,-97.7327743,30.2877116
1770952087539502300,50.75150244140625,0,0,0,5.670000076293945,3.3310000896453857,322,122.08999633789062,-97.7328474,30.2877186
1770952089534217000,52.746217041015626,0,0,0,5.670000076293945,4.622000217437744,298,114.5,-97.7329463,30.287755
1770952090533809200,53.74580908203125,0,0,0,5.670000076293945,4.203000068664551,296,113.68999481201172,-97.7329728,30.2877693
1770952091539907800,54.751907958984376,0,0,0,5.670000076293945,3.991000175476074,292,112.89999389648438,-97.733009,30.287769
1770952093536549000,56.748549072265625,0,0,0,5.670000076293945,4.425000190734863,287,110.18999481201172,-97.7330991,30.2877801
1770952095538290200,58.75029028320313,0,0,0,5.670000076293945,2.8550000190734863,268,107.79999542236328,-97.7331178,30.2877061
1770952097531284000,60.74328393554688,0,0,0,5.670000076293945,1.4180001020431519,287,104.18999481201172,-97.7330663,30.2876641
1770952099535910100,62.74791015625,0,0,0,5.670000076293945,1.0550000667572021,268,97.4000015258789,-97.7330291,30.2876408
1770952100541906200,63.75390625,0,0,0,5.670000076293945,1.721000075340271,231,92.08999633789062,-97.7330111,30.2875991
1770952102533244000,65.74524389648437,0,0,0,5.670000076293945,1.8340001106262207,156,84,-97.7329453,30.2875958
1770952103536353800,66.74835375976562,0,0,0,5.670000076293945,2.686000108718872,112,79.79999542236328,-97.7328871,30.287587
1770952105530191600,68.74219165039062,0,0,0,5.670000076293945,3.1040000915527344,79,70.68999481201172,-97.7328141,30.2876278
1770952106530712600,69.74271264648438,0,0,0,5.670000076293945,2.940000057220459,68,68.79999542236328,-97.7327956,30.2876476
1770952108518511600,71.73051171875,0,0,0,5.670000076293945,0.8510000109672546,68,66.79999542236328,-97.732834,30.2876491
1770952109541507600,72.75350756835938,0,0,0,5.670000076293945,1.127000093460083,68,65.08999633789062,-97.732882,30.2876426
1770952111517752600,74.72975268554687,0,0,0,5.670000076293945,1.9620001316070557,68,62.59000015258789,-97.7329455,30.2876396
1770952113520666400,76.73266625976562,0,0,0,5.670000076293945,2.3420000076293945,5,145.69000244140625,-97.7330083,30.2877598
1770952114535331300,77.74733129882813,0,0,0,5.670000076293945,2.8460001945495605,303,145.3000030517578,-97.7330553,30.2877455
1770952117536402700,80.74840258789062,0,0,0,5.670000076293945,3.196000099182129,282,149.8000030517578,-97.7331708,30.2877831
1770952118537464800,81.74946484375,0,0,0,5.670000076293945,2.1450002193450928,281,149.38999938964844,-97.7331591,30.2877848
1770952120518241800,83.73024169921875,0,0,0,5.670000076293945,0.5230000019073486,281,146.69000244140625,-97.7332501,30.287773
1770952121535281200,84.74728125,0,0,0,5.670000076293945,0.8350000381469727,281,146.59999084472656,-97.7332691,30.2877673
1770952123541435600,86.753435546875,0,0,0,5.670000076293945,1.8790000677108765,251,146,-97.7333228,30.2877426
1770952125543488000,88.75548803710937,0,0,0,5.670000076293945,3.1010000705718994,273,143.69000244140625,-97.7333915,30.2877301
1770952126549379000,89.76137915039062,0,0,0,5.670000076293945,3.9050002098083496,320,143.8000030517578,-97.7334168,30.2877561
1770952127553425000,90.7654248046875,0,0,0,5.670000076293945,4.888000011444092,322,147.3000030517578,-97.7334621,30.287789
1770952129551130400,92.76313037109375,0,0,0,5.670000076293945,6.966000556945801,327,148.38999938964844,-97.7335639,30.287876
1770952131545898800,94.75789868164063,0,0,0,5.670000076293945,5.951000213623047,323,149.59999084472656,-97.733651,30.2879771
1770952133540833500,96.75283349609376,0,0,0,5.670000076293945,4.825000286102295,299,150,-97.7337405,30.2880323
1770952135537054200,98.74905419921875,0,0,0,5.670000076293945,1.6700000762939453,289,147.38999938964844,-97.7338025,30.2880398
1770952136544988000,99.75698779296874,0,0,0,5.670000076293945,1.696000099182129,272,147.69000244140625,-97.7338226,30.2880383
1770952138542016800,101.75401684570312,0,0,0,5.670000076293945,5.051000118255615,288,144.88999938964844,-97.7339118,30.2880431
1770952139545342200,102.75734228515626,0,0,0,5.670000076293945,6.267000198364258,304,145.69000244140625,-97.733969,30.2880726
1770952140546873900,103.75887377929688,0,0,0,5.670000076293945,7.737000465393066,315,147.38999938964844,-97.7340271,30.2881215
1770952142539960000,105.7519599609375,0,0,0,5.670000076293945,8.720000267028809,322,148.19000244140625,-97.7341413,30.2882418
1770952143544538600,106.75653857421875,0,0,0,5.670000076293945,8.638999938964844,321,148.8000030517578,-97.734199,30.2883041
1770952145541720300,108.75372021484375,0,0,0,5.670000076293945,7.883000373840332,326,150.09999084472656,-97.7343026,30.2884253
1770952146545650000,109.75764990234374,0,0,0,5.670000076293945,7.695000171661377,328,150.8000030517578,-97.7343473,30.2884858
1770952148546324000,111.75832397460937,0,0,0,5.670000076293945,7.182000160217285,331,151.69000244140625,-97.7344256,30.2886033
1770952150538450400,113.75045043945312,0,0,0,5.670000076293945,6.528000354766846,355,152.3000030517578,-97.7344633,30.2887238
1770952151539454000,114.75145385742188,0,0,0,5.670000076293945,5.461000442504883,357,152.59999084472656,-97.7344674,30.2887755
1770952153543523600,116.75552368164062,0,0,0,5.670000076293945,3.7870001792907715,355,153,-97.7344758,30.2888508
1770952155539554000,118.75155395507812,0,0,0,5.670000076293945,5.725000381469727,352,153.88999938964844,-97.7344899,30.2889418
1770952156540190700,119.75219067382812,0,0,0,5.670000076293945,6.0400004386901855,351,154.19000244140625,-97.7344998,30.288996
