time,seconds_elapsed,z,y,x
1771038402115768800,0.141768798828125,-29.662500381469727,-30.618751525878906,-18.131250381469727
1771038402125769000,0.15176904296875,-28.61250114440918,-30.975000381469727,-18.09375
1771038402135768800,0.161768798828125,-28.42500114440918,-30.168750762939453,-18.543750762939453
1771038402145769000,0.17176904296875,-29.043750762939453,-30.431251525878906,-18
1771038402155768800,0.181768798828125,-29.025001525878906,-30.375001907348633,-18.618751525878906
1771038402165769000,0.19176904296875,-28.950000762939453,-30.30000114440918,-18.787500381469727
1771038402175768800,0.201768798828125,-28.537500381469727,-30.450000762939453,-19.293750762939453
1771038402185769000,0.21176904296875,-28.593751907348633,-30.562501907348633,-20.08125114440918
1771038402195768800,0.221768798828125,-27.86250114440918,-31.012500762939453,-21.731250762939453
1771038402205769000,0.23176904296875,-27.337501525878906,-31.406251907348633,-23.475000381469727
1771038402215768800,0.241768798828125,-26.700000762939453,-31.80000114440918,-24.693750381469727
1771038402225769000,0.25176904296875,-26.062501907348633,-31.818750381469727,-26.006250381469727
1771038402235768800,0.261768798828125,-25.556251525878906,-32.23125076293945,-26.906251907348633
1771038402245769000,0.27176904296875,-25.293750762939453,-32.306251525878906,-27.30000114440918
1771038402255768800,0.281768798828125,-25.293750762939453,-32.23125076293945,-27.243751525878906
1771038402265769000,0.29176904296875,-25.200000762939453,-32.28750228881836,-26.306251525878906
1771038402275768800,0.301768798828125,-26.043750762939453,-31.950000762939453,-24.637500762939453
1771038402285769000,0.31176904296875,-26.83125114440918,-31.387500762939453,-22.23750114440918
1771038402295768800,0.321768798828125,-28.031251907348633,-31.162500381469727,-20.137500762939453
1771038402305769000,0.33176904296875,-28.631250381469727,-30.825000762939453,-18.787500381469727
1771038402315768800,0.341768798828125,-29.17500114440918,-30.056251525878906,-17.400001525878906
1771038402325769000,0.35176904296875,-29.381250381469727,-30.187501907348633,-16.78125
1771038402335768800,0.361768798828125,-30.01875114440918,-30.01875114440918,-15.750000953674316
1771038402345769000,0.37176904296875,-30.58125114440918,-29.64375114440918,-15.018750190734863
1771038402355768800,0.381768798828125,-31.14375114440918,-29.156251907348633,-14.006250381469727
1771038402365769000,0.39176904296875,-31.500001907348633,-28.743751525878906,-13.612500190734863
1771038402375768800,0.401768798828125,-31.481250762939453,-28.443750381469727,-13.312500953674316
1771038402385769000,0.41176904296875,-32.306251525878906,-28.350000381469727,-12.468750953674316
1771038402395768800,0.421768798828125,-33.07500076293945,-28.256250381469727,-11.34375
1771038402405769000,0.43176904296875,-34.05000305175781,-27.712501525878906,-10.3125
1771038402415768800,0.441768798828125,-34.80000305175781,-27.281251907348633,-9.90000057220459
1771038402425769000,0.45176904296875,-34.91250228881836,-26.962501525878906,-10.012500762939453
1771038402435768800,0.461768798828125,-35.04375076293945,-26.64375114440918,-10.03125
1771038402445769000,0.47176904296875,-34.931251525878906,-26.26875114440918,-10.350000381469727
1771038402455768800,0.481768798828125,-35.17500305175781,-25.950000762939453,-10.706250190734863
1771038402465769000,0.49176904296875,-34.91250228881836,-25.743751525878906,-11.11875057220459
1771038402475768800,0.501768798828125,-34.743751525878906,-25.650001525878906,-12.075000762939453
