time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1771038402116834800,0.142834716796875,-0.8839203119277954,-0.10069627314805984,0.16714924573898315,0.42497795820236206,0.22341644763946533,-0.32581862807273865,2.282144069671631
1771038402135803100,0.16180322265625,-0.8805049061775208,-0.09556365013122559,0.17588551342487335,0.429701030254364,0.24256515502929688,-0.32514363527297974,2.273538827896118
1771038402154771200,0.180771240234375,-0.8781028389930725,-0.09510862082242966,0.18346115946769714,0.4315457046031952,0.25673648715019226,-0.3314073085784912,2.2711868286132812
1771038402173739300,0.1997392578125,-0.8741670250892639,-0.09679751098155975,0.1832433044910431,0.43918576836586,0.2519884705543518,-0.3365049362182617,2.253476858139038
1771038402192707600,0.21870751953125,-0.8733618855476379,-0.09962184727191925,0.17826484143733978,0.44219470024108887,0.23893845081329346,-0.33807042241096497,2.2451894283294678
1771038402211675600,0.237675537109375,-0.869684100151062,-0.10131257772445679,0.17914530634880066,0.4486561119556427,0.23660063743591309,-0.34369590878486633,2.2302961349487305
1771038402230643700,0.256643798828125,-0.8640755414962769,-0.1014631986618042,0.18409571051597595,0.45737016201019287,0.24231921136379242,-0.35090041160583496,2.2111032009124756
1771038402249611800,0.27561181640625,-0.8581475019454956,-0.10156697779893875,0.19265569746494293,0.4649202525615692,0.25527605414390564,-0.3612651228904724,2.1954498291015625
1771038402268580000,0.294580078125,-0.8546581864356995,-0.10357673466205597,0.19850212335586548,0.46843159198760986,0.2630244493484497,-0.3715013265609741,2.1885411739349365
1771038402287548200,0.313548095703125,-0.8545211553573608,-0.10497065633535385,0.1999572366476059,0.4677519202232361,0.2648281455039978,-0.375201553106308,2.1904845237731934
1771038402306516200,0.33251611328125,-0.8545100688934326,-0.10101577639579773,0.20281416177749634,0.4674128592014313,0.2739700376987457,-0.37066343426704407,2.1922030448913574
1771038402334968300,0.36096826171875,-0.8561694025993347,-0.08133497089147568,0.20838198065757751,0.4657634198665619,0.3027116060256958,-0.3398932218551636,2.1974637508392334
1771038402353936600,0.3799365234375,-0.8549947738647461,-0.06529486179351807,0.21516053378582,0.4673611521720886,0.329003244638443,-0.3181067705154419,2.1943399906158447
1771038402372904700,0.39890478515625,-0.8516034483909607,-0.05307428166270256,0.22036750614643097,0.47264450788497925,0.3476788103580475,-0.3033379912376404,2.181905746459961
1771038402391872800,0.417872802734375,-0.847236156463623,-0.04411466792225838,0.2248089462518692,0.47927623987197876,0.36171600222587585,-0.29447996616363525,2.1661946773529053
1771038402410840800,0.4368408203125,-0.8458170890808105,-0.03899753466248512,0.22341980040073395,0.48286256194114685,0.36253902316093445,-0.28559839725494385,2.1568145751953125
1771038402429809200,0.45580908203125,-0.8490891456604004,-0.039576709270477295,0.2137089967727661,0.48146629333496094,0.3443990647792816,-0.27650558948516846,2.1583213806152344
1771038402448777200,0.474777099609375,-0.8527430295944214,-0.04378636181354523,0.20326641201972961,0.4791605472564697,0.32194390892982483,-0.27284422516822815,2.1622910499572754
1771038402467745300,0.493745361328125,-0.8553118705749512,-0.05005618557333946,0.1930735856294632,0.4781825542449951,0.29769861698150635,-0.27367982268333435,2.1633193492889404
1771038402486713300,0.51271337890625,-0.8556386232376099,-0.05882875621318817,0.18275348842144012,0.480648398399353,0.2698338031768799,-0.2799968719482422,2.1562180519104004
1771038402515165700,0.541165771484375,-0.8548038005828857,-0.07860347628593445,0.1664545238018036,0.4852059781551361,0.21982599794864655,-0.30040863156318665,2.142448902130127
1771038402534133800,0.5601337890625,-0.8517549633979797,-0.09411287307739258,0.1568649560213089,0.4909680485725403,0.18520000576972961,-0.31977564096450806,2.125741720199585
1771038402553102000,0.57910205078125,-0.8488595485687256,-0.10829468816518784,0.1460217833518982,0.496374249458313,0.14921416342258453,-0.335050493478775,2.1086039543151855
1771038402581554200,0.60755419921875,-0.8461956977844238,-0.12521754205226898,0.1274261325597763,0.5020318031311035,0.0957665666937828,-0.3467691242694855,2.087449073791504
1771038402600522200,0.626522216796875,-0.8449199795722961,-0.1320866346359253,0.11846842616796494,0.5046073198318481,0.07126257568597794,-0.34985896944999695,2.077439308166504
1771038402619490300,0.645490234375,-0.8437781929969788,-0.13625632226467133,0.11460981518030167,0.5062975287437439,0.05912191793322563,-0.35329753160476685,2.0712571144104004
1771038402638458600,0.664458740234375,-0.8412603735923767,-0.14114072918891907,0.11135218292474747,0.5098636746406555,0.04639512300491333,-0.35866135358810425,2.0602612495422363
1771038402657426700,0.6834267578125,-0.838458240032196,-0.14702384173870087,0.1019572913646698,0.5147587060928345,0.020948568359017372,-0.3591873049736023,2.0441906452178955
1771038402676394800,0.702394775390625,-0.8329402208328247,-0.15247245132923126,0.08589814603328705,0.5249611735343933,-0.018094681203365326,-0.35137301683425903,2.01364803314209
1771038402704846800,0.730846923828125,-0.8202213048934937,-0.16377677023410797,0.05677126348018646,0.545152485370636,-0.09064976125955582,-0.3369015157222748,1.9529688358306885
